reference_id,trade_date,time_of_trade,underlying,expiration_date,strike_price,trade_type,open_interest,ind,exchange_code,spread,premium_price,trade_size,bid_size,bid_price,ask_price,ask_size,edge,lean_size,size_ratio,trade_count,delta,theta,vega,gamma,sigma,rho
280371650,2018-02-12,11:06:49:491000,AAPL,2018-04-20,220,P,88,AUTOX,E,0.8,58.5,2,314,57.7,58.5,374,100,374,16.04,9,-0.997,0.095,0.653,0.001,0.256,-40.348
280371651,2018-02-12,11:06:49:491000,AAPL,2018-04-20,220,P,88,AUTOX,A,0.8,58.5,3,314,57.7,58.5,374,100,374,16.04,9,-0.997,0.095,0.653,0.001,0.256,-40.348
280372329,2018-02-12,11:07:02:108000,OSTK,2018-06-15,70,C,555,AUTOX,X,1.1,8.79,1,703,7.7,8.8,978,98,978,28.12,8,0.46,-18.766,12.996,0.012,0.972,5.974
280372425,2018-02-12,11:07:05:274000,AMZN,2018-02-16,1385,P,562,AUTOX,Z,1.05,25.54,2,3,24.5,25.55,162,98,162,98.15,119,-0.536,-1048.125,58.587,0.007,0.41,-8.766
280372461,2018-02-12,11:07:06:156000,BIDU,2018-03-29,225,C,0,ISOI,E,1.35,11.65,1,391,10.3,11.65,268,100,268,-45.9,1,0.479,-52.545,30.934,0.012,0.418,11.713
280383659,2018-02-12,11:11:34:741000,PXD,2019-01-18,220,C,194,REG,C,1,8.5,60,189,7.5,8.5,269,100,269,29.74,6,0.272,-9.907,54.985,0.006,0.333,36.175
280383660,2018-02-12,11:11:34:741000,PXD,2019-01-18,220,C,194,REG,C,1,8.5,105,168,7.5,8.5,251,100,251,33.07,6,0.272,-9.907,54.985,0.006,0.333,36.175
280383661,2018-02-12,11:11:34:742000,PXD,2019-01-18,220,C,194,REG,C,1,8.5,40,168,7.5,8.5,261,100,261,35.63,6,0.272,-9.907,54.985,0.006,0.333,36.175
280383664,2018-02-12,11:11:34:747000,PXD,2019-01-18,220,C,194,REG,C,1,8.5,6,128,7.5,8.5,235,100,235,45.53,6,0.272,-9.907,54.985,0.006,0.333,36.175
280383665,2018-02-12,11:11:34:747000,PXD,2019-01-18,220,C,194,REG,C,1,8.5,39,118,7.5,8.5,225,100,225,47.56,6,0.272,-9.907,54.985,0.006,0.333,36.175
